Question,A,B,C,D,Answer
What should you do before crossing the street?,Look left and right,Text your friends,Listen to music,Check your email,A
When should you use a crosswalk?,Always,Only when it's convenient,Never,When you're in a hurry,A
What is the speed limit in a school zone?,20 mph, 30 mph,35 mph, 40 mph,A
What does a yield sign mean?, Merge right,Stop ahead,Slow down,Give way,D
What should you do if you're walking at night?,Wear dark clothes,Walk in the street,Carry a flashlight,Listen to music,C
What should you do if you're driving and a pedestrian is crossing the street?,Speed up,Honk horn, Stop, Swerve around,C
What should you do if you're driving and the sun is shining directly in your eyes?, Keep driving,Wear sunglasses,Turn on high beams,Close your eyes,B
What should you do if you see a pedestrian crossing the street?,Honk your horn to let them know you're there, Slow down and let them cross safely,Speed up and try to get through the intersection before they do,Swerve around them,B
Car backing out of driveway what to do?,Keep walking,Yell at driver,Stop and wait,Walk around,C
Bike and car passing what to do?,Ride close,Move to middle,Stay right,Ride on sidewalk,C
Driving and heavy rain what to do?, Turn on high beams, Drive fast, Slow down,Pull over,C
If you are convinced you are being followed in the street what should you do?,Quickly head into the nearest public place or any residence or business that looks occupied.,Cross the road and run in the opposite direction.,Turn around and confront them to ask them why they are following you.,Stop and screa: �Stop following me!� as loud as you can.,A
Whilst walking home through the park late a night you hear strange sounds coming from the bushes. What should you do?,Go and investigate what�s going on.,Break out into a sprint and don�t look back.,This wouldn�t happen as you know never walk through secluded places such as alley ways; parks or waste ground after dark.,Ignore it � all sorts of strange things go on in parks late at night. It�s best not to pry.,C
If a stranger in the street threatens you with a weapon and demands your valuables what should you do?,Run as fast as you can., Say �No� and simply turn and walk away.,Give them what they want.,Scream.,C
If you are a regular jogger which of these methods will NOT help you to avoid unwanted attention?,Wearing dark or bland coloured clothing.,Running a variable route.,Sticking to well lit and populated areas.,Running very fast.,D
After a late night out in town what is the safest way of getting home?,Getting the night bus.,Hailing a taxi.,Walking.,Booking a licensed taxi to share with friends who live in a similar area.,D
When walking home late at night which of these safety measures are you not advised to adopt?,Stick to well lit public areas.,Walk in company.,Wear a large hat so that your face can�t be easily seen.,Keep valuables(such as mobile phones or jewellery) out of sight.,C
If a stranger comes up to you in the street to ask for change or a cigarette what should you do?,Blank them completely.,Stop and give their request your undivided attention.,Run.,Politely say �No� whilst carrying on walking.,D
To avoid attracting unwanted attention what street manner is it best to adopt?,Act confident with your head high as if you know where you are going even if you don�t.,Attract assistance by looking like a tourist such as in holding a map and appearing confused.,Keep your head down and your shoulders hunched to avoid catching a stranger�s eye.,Try to appear tough and cocky by walking with a strut and with your chin in the air. Chewing gum also increases the effectiveness of the manner.,A
 If you are travelling by public transport at night which of these tips is it NOT necessary to observe?,Always plan your route beforehand.,Try to wait in well lit areas ideally with a group of other passengers.,Try to strike up conversations with other passengers.,Try to sit near other passengers or members of staff.,C
What should you NOT do when using a cash machine?,Accept help from a stranger.,Keep you PIN secret from everyone even the bank or the police.,Shield you PIN from the people around you.,Cancel your card immediately if it is lost; stolen or eaten by the machine.,A
What should you do if you are approached by a group of people who make you feel uncomfortable?,Walk away quickly.,Stay and try to assert your dominance.,Ask if they need help with something.,Create a distraction and leave.,D
What should you do if you are approached by a stranger in a car offering a ride?,Get in the car.,Run away.,Yell for help.,Refuse and walk away.,D
What is the best way to avoid becoming a victim of phone theft?,Keep your phone in your pocket.,Use a phone case with a locking mechanism.,Pay attention to your surroundings and avoid using your phone in dangerous areas.,None of the above.,C
What is the safest way to carry your purse or bag while walking down the street?,Across your shoulder,Over your head,In your hand,Close to your body and under your arm,D
When walking alone at night what is the best way to stay safe?,Listen to music to distract yourself,Stay alert and aware of your surroundings,Walk quickly to get home faster,Use your phone to text or call someone,B
If someone tries to rob you what should you do?,Give them your money and valuables,Fight back,Run away,It depends on the situation,D
What is the most important thing you can do to protect yourself while walking or jogging?,Wear bright colors,Run with a buddy,Be aware of your surroundings,All of the above,D
What should you do if you suspect someone is following you?,Confront them,Run away,Cross the street,Go to a well-lit area with other people around,D
What should you do if someone grabs you from behind?,Scream and fight back,Freeze,Yell for help,None of the above,D
What should you do if you are being threatened by someone with a weapon?,Remain calm and comply with their demands,Fight back with a weapon of your own,Run away as quickly as possible,Call the police immediately,A
If you are lost what should you avoid doing?,Asking for directions,Fumbling with your phone's maps app,Going into dark unpopulated areas,None of the above,D
What should you do if you are approached by a group of people who make you feel uncomfortable?,Walk away quickly,Stay and try to assert your dominance,Ask if they need help with something,Create a distraction and leave,D
What should you do if you witness a crime?,Keep walking and don't get involved,Call the police immediately,Confront the perpetrator,Document the incident on social media,B
